-log(C),Amax/Abs QPR,lambda dpr,Integral,Max Synthesis,lambda dpr synthesis,Cat
4.823908741,1.506517691,800,425.4,2.382,692,1
4.698970004,1.569471624,800,414.47,2.382,692,1
4.602059991,1.634920635,803,418.34,2.382,692,1
4.522878745,1.671259843,805,427.08,2.382,692,1
4.455931956,1.694779116,805,423.42,2.382,692,1
4.397940009,1.715976331,800,431.18,2.382,692,1
4.346787486,1.759109312,804,428.72,2.382,692,1
4.301029996,1.762,802,432.19,2.382,692,1
4.259637311,1.759368836,802,437.88,2.382,692,1
4.22184875,1.794354839,798,433.29,2.382,692,1
4.187086643,1.799603175,799,443.69,2.382,692,1
4.15490196,1.821285141,798,438.26,2.382,692,1
4.124938737,1.822580645,794,435.03,2.382,692,1
4.096910013,1.831983806,796,436.46,2.382,692,1
4.070581074,1.843942505,802,433.9,2.382,692,1
4.045757491,1.808880309,792,452.89,2.382,692,1
4.022276395,1.891440501,795,429.62,2.382,692,1
4,1.840954274,792,443.22,2.382,692,1
4.823908741,1.548262548,765,408.8,2.581,658,1
4.698970004,1.549132948,764,408.47,2.581,658,1
4.602059991,1.609375,769,411.55,2.581,658,1
4.522878745,1.671936759,773,416.57,2.581,658,1
4.455931956,1.691532258,772,411.1,2.581,658,1
4.397940009,1.720647773,776,412.93,2.581,658,1
4.346787486,1.762575453,774,421.75,2.581,658,1
4.301029996,1.778904665,772,419.4,2.581,658,1
4.259637311,1.765182186,773,418.09,2.581,658,1
4.22184875,1.767891683,771,435.9,2.581,658,1
4.187086643,1.806451613,771,423.26,2.581,658,1
4.15490196,1.879098361,771,426.12,2.581,658,1
4.124938737,1.868041237,765,418.61,2.581,658,1
4.096910013,1.840155945,769,441.06,2.581,658,1
4.070581074,1.884462151,765,435.63,2.581,658,1
4.045757491,1.888659794,768,422.23,2.581,658,1
4.022276395,1.917864476,766,426.51,2.581,658,1
4,1.930327869,763,427.56,2.581,658,1
4.823908741,1.469465649,741,393.22,2.444,656,1
4.698970004,1.487084871,743,407.98,2.444,656,1
4.602059991,1.514124294,746,403.46,2.444,656,1
4.522878745,1.572796935,748,404.47,2.444,656,1
4.455931956,1.619607843,751,402.05,2.444,656,1
4.397940009,1.596590909,754,414.02,2.444,656,1
4.346787486,1.6121673,753,413.13,2.444,656,1
4.301029996,1.660079051,754,405.98,2.444,656,1
4.259637311,1.622641509,753,418.98,2.444,656,1
4.22184875,1.693203883,757,416.61,2.444,656,1
4.187086643,1.67961165,751,412.24,2.444,656,1
4.15490196,1.733201581,757,415.34,2.444,656,1
4.124938737,1.694552529,755,414.93,2.444,656,1
4.096910013,1.776209677,754,409.93,2.444,656,1
4.070581074,1.733201581,746,410.57,2.444,656,1
4.045757491,1.778443114,749,412.83,2.444,656,1
4.022276395,1.764822134,748,413.37,2.444,656,1
4,1.723014257,752,401.54,2.444,656,1
3.920818754,1.785714286,775,397.44,2.252,682,2
3.853871964,1.901826484,775,388.45,2.252,682,2
3.795880017,1.792035398,770,386.23,2.252,682,2
3.744727495,1.82079646,768,389.2,2.252,682,2
3.657577319,1.751046025,765,401.28,2.252,682,2
3.619788758,1.782795699,764,393.73,2.252,682,2
3.585026652,1.816017316,763,392.61,2.252,682,2
3.552841969,1.725806452,759,409.9,2.252,682,2
3.522878745,1.709418838,755,406.54,2.252,682,2
3.920818754,1.760171306,780,391.97,2.176,685,2
3.853871964,1.65583174,778,421.05,2.176,685,2
3.795880017,1.76059322,775,393.43,2.176,685,2
3.744727495,1.707171315,770,408.61,2.176,685,2
3.698970004,1.675944334,772,407.86,2.176,685,2
3.657577319,1.755693582,765,396.04,2.176,685,2
3.619788758,1.759493671,770,394.54,2.176,685,2
3.585026652,1.722334004,764,403.45,2.176,685,2
3.552841969,1.791044776,769,390.33,2.176,685,2
3.522878745,1.72983871,762,402.4,2.176,685,2
3.920818754,1.865702479,805,431.86,2.235,698,2
3.853871964,1.957871397,798,413.29,2.235,698,2
3.795880017,1.995495495,797,410.39,2.235,698,2
3.744727495,1.964523282,790,409.45,2.235,698,2
3.698970004,1.936936937,787,399.89,2.235,698,2
3.657577319,1.915929204,785,405.36,2.235,698,2
3.619788758,1.954148472,785,412.78,2.235,698,2
3.585026652,1.929184549,781,412.83,2.235,698,2
3.552841969,1.902953586,777,413.64,2.235,698,2
3.522878745,1.882231405,778,423.14,2.235,698,2
4.638272164,1.768240343,810,411.5,2.41,698,1
4.27572413,1.936936937,799,409.68,2.41,698,1
4.086186148,2.04805492,793,412.62,2.41,698,1
3.769551079,2.034722222,786,404.2,2.41,698,2
3.677780705,2.023041475,785,406.83,2.41,698,2
3.54515514,2.008908686,783,415.71,2.41,698,2
3.301029996,1.962472406,767,400.9,2.41,698,2
